customer_id,customer_name,phone_number,vendor_name,item_id,item,item_img_url,rating,section,section_number,distance,rnk
21,David Park,001-797-562-8446x119,Streats of Detroit,231,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.19036219,244,335,91,1
22,Erik Cook,848-764-1363,Streats of Detroit,231,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.10659641,244,264,20,1
23,Shane Greene,603.315.7009x31909,Turf Tavern,286,Bottled Water,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/52_Bottled_Water.jpg?raw=true,0.0789165,132,131,1,1
24,Henry Thomas,+1-339-778-8911x76362,Streats of Detroit,231,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.20688872,244,255,11,1
25,Thomas Freeman,598-394-7680x94881,Streats of Detroit,231,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.10065177,244,249,5,1
26,Chase Arellano,(395)395-9916,Streats of Detroit,167,Popcorn,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/44_Popcorn.jpg?raw=true,0.064431466,137,145,8,1
26,Chase Arellano,(395)395-9916,Streats of Detroit,170,Cheese Cups,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/51_Cheese_Cups.jpg?raw=true,0.07850427,137,145,8,1
27,Kathy Woods,790.934.5711x6873,Streats of Detroit,198,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.13021474,227,250,23,1
28,Randall Bryant,292-373-1328x99892,Streats of Detroit,198,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.08190718,227,241,14,1
29,Chad Parker,586-936-0727x695,Streats of Detroit,148,Cheese Cups,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/51_Cheese_Cups.jpg?raw=true,0.089276925,126,119,7,1
30,Kelly May,001-552-204-5130x28579,Sonny's Hamburgers,326,Domestic Beer,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/27_druft_beer.jpg?raw=true,0.11275818,208,206,2,1
31,Jeanne Morgan,5995059850,Downtown Counter,41,Bottomless Souvenir Popcorn,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/44_Popcorn.jpg?raw=true,0.1343061,139,149,10,1
32,Jacob Norton,001-979-758-5805x47245,Kickoff Classics,309,Bottomless Souvenir Popcorn,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/44_Popcorn.jpg?raw=true,0.115889154,208,185,23,1
32,Jacob Norton,001-979-758-5805x47245,Sonny's Hamburgers,327,Bottomless Souvenir Soda,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/25_color_juice.jpg?raw=true,0.11041793,208,185,23,1
32,Jacob Norton,001-979-758-5805x47245,Kickoff Classics,303,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.111743934,208,185,23,1
32,Jacob Norton,001-979-758-5805x47245,Sonny's Hamburgers,326,Domestic Beer,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/27_druft_beer.jpg?raw=true,0.10648584,208,185,23,1
33,Brent Reed,440-773-8636x0538,Streats of Detroit,198,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.092154585,227,258,31,1
34,Karen Larson,868-619-5441,Streats of Detroit,192,Cheese Cups,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/51_Cheese_Cups.jpg?raw=true,0.14190778,223,284,61,1
35,Molly Armstrong,(674)567-4212,Streats of Detroit,168,Pretzel,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/37_Pretzels.jpg?raw=true,0.2541634,137,132,5,1
36,Christopher Taylor,(727)584-6913x154,Lefty's Cheesesteaks,85,Lefty's Cheesteak,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/15_sandwiches.jpg?raw=true,0.18333401,103,106,3,1
37,Danielle Rodriguez,528.302.9712x4321,Streats of Detroit,231,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.13232853,244,327,83,1
38,Curtis Blake,(218)757-8900x37483,Streats of Detroit,231,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.10853013,244,331,87,1
39,Melinda Sharp,822-635-3103x432,Streats of Detroit,142,Value Meal,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/11_hotdog.jpg?raw=true,0.13048139,126,154,28,1
39,Melinda Sharp,822-635-3103x432,Streats of Detroit,143,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.13335565,126,154,28,1
40,Sue Robinson,(608)918-9454x22137,Big Boy,21,Grilled Chicken Breast Sandwich ,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/42_Sandwich.png?raw=true,0.10002607,230,261,31,1
41,Susan Calderon,762-333-3666,Streats of Detroit,170,Cheese Cups,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/51_Cheese_Cups.jpg?raw=true,0.05727271,137,166,29,1
42,Melinda Fritz,001-684-229-7030x378,Streats of Detroit,190,Pretzel,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/37_Pretzels.jpg?raw=true,0.14593615,223,210,13,1
43,Melissa Leach,306.540.9840,Streats of Detroit,231,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.1842696,244,250,6,1
44,Katie Travis,(342)787-4869x01672,Streats of Detroit,204,Domestic Beer,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/27_druft_beer.jpg?raw=true,0.21583831,227,306,79,1
44,Katie Travis,(342)787-4869x01672,Streats of Detroit,198,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.25536647,227,306,79,1
45,Charles Santiago,6366910125,Streats of Detroit,231,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.16820848,244,270,26,1
46,Dr. Toni Webb,(560)536-8193,Streats of Detroit,141,Gatorade,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/23_red_jouce.jpg?raw=true,0.15387261,124,125,1,1
46,Dr. Toni Webb,(560)536-8193,Streats of Detroit,148,Cheese Cups,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/51_Cheese_Cups.jpg?raw=true,0.14395092,126,125,1,1
47,Craig Morrison,(336)293-2093,Streats of Detroit,170,Cheese Cups,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/51_Cheese_Cups.jpg?raw=true,0.14109577,137,156,19,1
48,Daisy Bates,+1-670-646-3812,Streats of Detroit,198,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.11799255,227,229,2,1
49,Steven Webb,765.431.2492x674,Downtown Counter,41,Bottomless Souvenir Popcorn,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/44_Popcorn.jpg?raw=true,0.24716862,139,145,6,1
50,Danielle Moore,959-245-0285,Turf Tavern,288,Domestic Beer,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/27_druft_beer.jpg?raw=true,0.08904001,236,327,91,1
51,Ryan King,(332)685-1108,Streats of Detroit,231,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.109227955,244,244,0,1
52,Erin Smith,001-243-902-9319x0675,Streats of Detroit,190,Pretzel,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/37_Pretzels.jpg?raw=true,0.21836291,223,190,33,1
53,Sarah Harris,970-763-7480x863,South Club Cafe,350,Cake Slice,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/46_Cake_Slice.jpg?raw=true,0.15408824,214,218,4,1
54,Scott Watson,(390)227-3849x3116,Streats of Detroit,190,Pretzel,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/37_Pretzels.jpg?raw=true,0.19867079,223,264,41,1
55,Lee Villarreal,+1-218-838-3839x96833,Streats of Detroit,198,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.05393784,227,251,24,1
56,Dean Obrien,(217)980-7142,Turf Tavern,288,Domestic Beer,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/27_druft_beer.jpg?raw=true,0.08444155,236,240,4,1
56,Dean Obrien,(217)980-7142,Streats of Detroit,231,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.10831741,244,240,4,1
57,Isaac Morgan,488.870.4285x74138,Streats of Detroit,231,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.08091637,244,251,7,1
58,Matthew Taylor,674-554-1795x821,Streats of Detroit,231,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.17762953,244,345,101,1
59,Jennifer Flores,001-820-694-6767,Streats of Detroit,190,Pretzel,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/37_Pretzels.jpg?raw=true,0.10977601,223,275,52,1
60,Caitlyn Smith,969.907.9968x73262,Streats of Detroit,167,Popcorn,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/44_Popcorn.jpg?raw=true,0.07532426,137,140,3,1
61,Courtney Madden,(237)944-4187,Streats of Detroit,148,Cheese Cups,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/51_Cheese_Cups.jpg?raw=true,0.13476694,126,125,1,1
62,Keith Moss,568.294.8445x910,Streats of Detroit,192,Cheese Cups,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/51_Cheese_Cups.jpg?raw=true,0.09572758,223,319,96,1
63,Cassandra Baker,762-701-4825x57501,Streats of Detroit,198,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.14092766,227,240,13,1
64,John James,493-311-9341,Streats of Detroit,218,Gatorade,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/23_red_jouce.jpg?raw=true,0.07864512,238,262,24,1
65,Scott Jones,+1-515-667-6430x1463,Lefty's Cheesesteaks,88,Chicken Hoagie,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/40_Chicken_Hoagie.png?raw=true,0.1476639,103,135,32,1
66,Stacy Mcbride,+1-671-439-7331x380,Streats of Detroit,140,Bottled Water,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/52_Bottled_Water.jpg?raw=true,0.1325026,124,117,7,1
67,Leonard Wilson,909-826-3752x1660,Hungry Howie's,78,Pepperoni Pizza,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/36_Sausage_Peppers_Pizza.jpeg?raw=true,0.15131192,226,344,118,1
68,Kristopher Moody,438-808-6673x9489,Big Boy,27,Domestic Beer,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/27_druft_beer.jpg?raw=true,0.050517514,230,279,49,1
69,Jill Donaldson,+1-714-557-4720x0972,Streats of Detroit,192,Cheese Cups,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/51_Cheese_Cups.jpg?raw=true,0.076442145,223,254,31,1
69,Jill Donaldson,+1-714-557-4720x0972,Streats of Detroit,190,Pretzel,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/37_Pretzels.jpg?raw=true,0.081632495,223,254,31,1
70,Tammy Manning,+1-462-220-3463x17890,Streats of Detroit,170,Cheese Cups,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/51_Cheese_Cups.jpg?raw=true,0.03723955,137,140,3,1
71,Sherry Bowen,648-324-9447x02494,Kickoff Classics,312,Chicken Tender Basket,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/13_chicken_wing.jpg?raw=true,0.10474386,208,195,13,1
72,Kathy Smith,316-474-2006,Streats of Detroit,198,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.07030181,227,343,116,1
73,Sherri Fletcher,001-314-651-5469x989,Streats of Detroit,231,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.16252835,244,284,40,1
74,Steven Schmidt,(921)746-1673x14173,Streats of Detroit,190,Pretzel,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/37_Pretzels.jpg?raw=true,0.0719912,223,265,42,1
75,Arthur Jones,625-573-4888,Streats of Detroit,142,Value Meal,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/11_hotdog.jpg?raw=true,0.11922723,126,150,24,1
75,Arthur Jones,625-573-4888,Streats of Detroit,143,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.11854407,126,150,24,1
76,Felicia Mueller,+1-802-747-5903x492,Turf Tavern,286,Bottled Water,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/52_Bottled_Water.jpg?raw=true,0.12035019,132,131,1,1
77,Benjamin Dixon,590.244.3605,Big Boy,21,Grilled Chicken Breast Sandwich ,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/42_Sandwich.png?raw=true,0.11422557,230,274,44,1
77,Benjamin Dixon,590.244.3605,Big Boy,27,Domestic Beer,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/27_druft_beer.jpg?raw=true,0.11958343,230,274,44,1
78,Nicolas Mcintyre,001-304-588-2073x5846,Streats of Detroit,198,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.16876025,227,293,66,1
79,Courtney Robinson,626.766.8507x493,Big Boy,21,Grilled Chicken Breast Sandwich ,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/42_Sandwich.png?raw=true,0.12622243,230,259,29,1
80,Angel Garcia,001-348-673-0381x041,Streats of Detroit,231,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.09864093,244,314,70,1
81,Amber Richards,879-775-3112,Streats of Detroit,124,Pretzel,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/37_Pretzels.jpg?raw=true,0.07811693,120,109,11,1
82,Brian Brady,568.605.1686x43678,Big Boy,27,Domestic Beer,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/27_druft_beer.jpg?raw=true,0.09180095,230,323,93,1
83,Wayne Bartlett,911.869.7265x240,Streats of Detroit,231,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.052925278,244,268,24,1
84,Christina Jensen,001-889-291-4484,Streats of Detroit,204,Domestic Beer,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/27_druft_beer.jpg?raw=true,0.12044383,227,269,42,1
84,Christina Jensen,001-889-291-4484,Streats of Detroit,198,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.14565243,227,269,42,1
85,Kristin Hanson,001-231-237-2655x751,Streats of Detroit,190,Pretzel,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/37_Pretzels.jpg?raw=true,0.17232549,223,196,27,1
86,Tyler Todd,(550)977-5262x0193,Streats of Detroit,190,Pretzel,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/37_Pretzels.jpg?raw=true,0.15489472,223,236,13,1
87,Brandon Rogers,352-457-3802x5134,Streats of Detroit,170,Cheese Cups,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/51_Cheese_Cups.jpg?raw=true,0.19161515,137,172,35,1
88,Kellie Adams,(217)487-8615x179,Big Boy,27,Domestic Beer,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/27_druft_beer.jpg?raw=true,0.18296021,230,274,44,1
89,Joshua Hudson,661.832.1500,Streats of Detroit,170,Cheese Cups,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/51_Cheese_Cups.jpg?raw=true,0.11995308,137,156,19,1
90,Kelsey Riddle,539-870-0565,Streats of Detroit,192,Cheese Cups,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/51_Cheese_Cups.jpg?raw=true,0.15128985,223,323,100,1
91,Thomas Anderson,210-930-0800,Downtown Counter,41,Bottomless Souvenir Popcorn,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/44_Popcorn.jpg?raw=true,0.25146604,139,139,0,1
92,Robert Bell,4156586003,Streats of Detroit,179,Pretzel,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/37_Pretzels.jpg?raw=true,0.11110648,217,213,4,1
93,Jessica Mccoy,990.991.5094,Streats of Detroit,179,Pretzel,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/37_Pretzels.jpg?raw=true,0.11569051,217,184,33,1
94,Thomas Greene,001-257-496-4256x7287,Streats of Detroit,198,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.1498689,227,234,7,1
95,Michelle Mitchell,+1-266-292-3943,Streats of Detroit,218,Gatorade,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/23_red_jouce.jpg?raw=true,0.08790268,238,236,2,1
96,Bruce Leon,(313)539-5491x307,South East Pub,346,Craft Beer,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/26_cluft_beer.jpg?raw=true,0.16186704,214,221,7,1
96,Bruce Leon,(313)539-5491x307,South East Pub,341,Premium Cocktail,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/25_color_juice.jpg?raw=true,0.2396527,214,221,7,1
97,Kathryn Kent,(817)860-8687,Streats of Detroit,142,Value Meal,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/11_hotdog.jpg?raw=true,0.15151775,126,141,15,1
98,Dana Ewing,+1-749-426-3956x06620,Kickoff Classics,309,Bottomless Souvenir Popcorn,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/44_Popcorn.jpg?raw=true,0.1198549,208,210,2,1
98,Dana Ewing,+1-749-426-3956x06620,Kickoff Classics,303,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.13009353,208,210,2,1
98,Dana Ewing,+1-749-426-3956x06620,Sonny's Hamburgers,326,Domestic Beer,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/27_druft_beer.jpg?raw=true,0.13434152,208,210,2,1
99,Sean Graves,811.257.9719x76878,Lefty's Cheesesteaks,88,Chicken Hoagie,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/40_Chicken_Hoagie.png?raw=true,0.0788908,103,101,2,1
100,Rachel Wright,568.613.7627x11775,Streats of Detroit,141,Gatorade,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/23_red_jouce.jpg?raw=true,0.10666643,124,124,0,1
100,Rachel Wright,568.613.7627x11775,Streats of Detroit,134,Popcorn,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/44_Popcorn.jpg?raw=true,0.10900703,124,124,0,1
100,Rachel Wright,568.613.7627x11775,Streats of Detroit,140,Bottled Water,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/52_Bottled_Water.jpg?raw=true,0.116361685,124,124,0,1
101,Joseph Bradley,865.912.9896x4642,Big Boy,21,Grilled Chicken Breast Sandwich ,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/42_Sandwich.png?raw=true,0.061812475,230,239,9,1
102,Beth Smith,001-515-293-7368x6092,Streats of Detroit,231,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.11964228,244,336,92,1
103,Donald James,532-846-4680x151,Lefty's Cheesesteaks,88,Chicken Hoagie,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/40_Chicken_Hoagie.png?raw=true,0.07407837,103,100,3,1
104,Jennifer Gonzales,233-737-6380,Streats of Detroit,231,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.16408968,244,304,60,1
105,Michael Bennett,001-240-777-2310x83934,Streats of Detroit,198,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.24837634,227,291,64,1
106,Erica Mcdonald,+1-980-413-8091x3932,Streats of Detroit,198,Nacho Grande,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true,0.10309001,227,229,2,1
