customer_id,customer_name,phone_number,item_id,rating,vendor_id,vendor_location_number,vendor_name,vendor_scope,section,item_type,item,price,error,item_img_url
985,Rhonda Mata,(492)561-1844x10884,53,0.1076794,6,1,Goal Post Grill & Pizzeria,Food,119,Snack,Peanuts,7.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/48_Peanuts.jpg?raw=true
994,Darren Reed,763.976.8111x04474,54,0.15564625,6,1,Goal Post Grill & Pizzeria,Food,119,Alcohol,Domestic Beer,,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/27_druft_beer.jpg?raw=true
996,Christopher Ortiz,001-398-886-7927,70,0.10282377,9,2,Hungry Howie's,Food,123,Water,Bottled Water,10.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/52_Bottled_Water.jpg?raw=true
993,Misty Yates,001-512-476-8056x51133,77,0.08557569,9,4,Hungry Howie's,Food,226,Pizza,Cheese Pizza,12.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/05_pizza.jpg?raw=true
1000,Michelle Smith,+1-751-690-1072,78,0.039963625,9,4,Hungry Howie's,Food,226,Pizza,Pepperoni Pizza,11.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/36_Sausage_Peppers_Pizza.jpeg?raw=true
993,Misty Yates,001-512-476-8056x51133,85,0.092020914,11,1,Lefty's Cheesesteaks,Food,103,Sandwich,Lefty's Cheesteak,16.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/15_sandwiches.jpg?raw=true
985,Rhonda Mata,(492)561-1844x10884,88,0.117020495,11,1,Lefty's Cheesesteaks,Food,103,Sandwich,Chicken Hoagie,15.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/40_Chicken_Hoagie.png?raw=true
975,Christine Rodgers,001-322-479-9676x0831,97,0.08357579,15,2,Slows To Go BBQ,Food,210,Sandwich,Big Poppa,14.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/15_sandwiches.jpg?raw=true
694,Tyler Bennett,001-262-708-9733x35303,99,0.085898384,16,1,Snack Zone,Food,117,Nachos,Nacho Grande,14.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true
996,Christopher Ortiz,001-398-886-7927,104,0.095361255,16,1,Snack Zone,Food,117,Snack,Cheese Chips,9.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/50_Cheese_Chips.jpg?raw=true
870,Yolanda Spencer,+1-678-900-1629x6576,110,0.15680425,17,1,Streats of Detroit,Food,109,Nachos,Nacho Grande,14.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true
1000,Michelle Smith,+1-751-690-1072,112,0.038370352,17,1,Streats of Detroit,Food,109,Snack,Popcorn,8.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/44_Popcorn.jpg?raw=true
999,Jonathan Sims,(395)441-1120,113,0.121459015,17,1,Streats of Detroit,Food,109,Pretzels,Pretzel,7.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/37_Pretzels.jpg?raw=true
990,Elizabeth Carlson,(461)341-0655x3917,120,0.074161045,17,2,Streats of Detroit,Food,120,Hot Dog,Value Meal,13.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/11_hotdog.jpg?raw=true
312,Kyle Levine,001-898-667-7019x184,123,0.07584328,17,2,Streats of Detroit,Food,120,Snack,Popcorn,7.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/44_Popcorn.jpg?raw=true
995,Nathaniel Rodriguez MD,+1-923-229-9197,124,0.24450526,17,2,Streats of Detroit,Food,120,Pretzels,Pretzel,8.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/37_Pretzels.jpg?raw=true
984,Marco Randall,(211)753-7632x49984,126,0.15235241,17,2,Streats of Detroit,Food,120,Snack,Cheese Cups,,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/51_Cheese_Cups.jpg?raw=true
992,Wesley Thompson,288-603-7697x7319,131,0.09450559,17,3,Streats of Detroit,Food,124,Hot Dog,Value Meal,13.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/11_hotdog.jpg?raw=true
999,Jonathan Sims,(395)441-1120,134,0.12572238,17,3,Streats of Detroit,Food,124,Snack,Popcorn,7.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/44_Popcorn.jpg?raw=true
984,Marco Randall,(211)753-7632x49984,139,0.15252617,17,3,Streats of Detroit,Food,124,Non-Alcoholic,Regular or Large Soda,10.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/23_red_jouce.jpg?raw=true
999,Jonathan Sims,(395)441-1120,140,0.133893,17,3,Streats of Detroit,Food,124,Water,Bottled Water,10.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/52_Bottled_Water.jpg?raw=true
999,Jonathan Sims,(395)441-1120,141,0.11907759,17,3,Streats of Detroit,Food,124,Non-Alcoholic,Gatorade,9.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/23_red_jouce.jpg?raw=true
999,Jonathan Sims,(395)441-1120,142,0.11641299,17,4,Streats of Detroit,Food,126,Hot Dog,Value Meal,13.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/11_hotdog.jpg?raw=true
998,Andrew Taylor,+1-796-841-0734x56314,143,0.089369826,17,4,Streats of Detroit,Food,126,Nachos,Nacho Grande,14.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true
988,Mark Scott,(508)785-7126,147,0.086305685,17,4,Streats of Detroit,Food,126,Snack,Peanuts,8.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/48_Peanuts.jpg?raw=true
1000,Michelle Smith,+1-751-690-1072,148,0.03685134,17,4,Streats of Detroit,Food,126,Snack,Cheese Cups,,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/51_Cheese_Cups.jpg?raw=true
992,Wesley Thompson,288-603-7697x7319,159,0.08699626,17,5,Streats of Detroit,Food,130,Snack,Cheese Cups,,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/51_Cheese_Cups.jpg?raw=true
903,David Robinson,001-490-213-6345x9637,160,0.08487755,17,5,Streats of Detroit,Food,130,Alcohol,Domestic Beer,11.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/27_druft_beer.jpg?raw=true
1000,Michelle Smith,+1-751-690-1072,167,0.037337895,17,6,Streats of Detroit,Food,137,Snack,Popcorn,7.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/44_Popcorn.jpg?raw=true
996,Christopher Ortiz,001-398-886-7927,168,0.1006258,17,6,Streats of Detroit,Food,137,Pretzels,Pretzel,8.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/37_Pretzels.jpg?raw=true
1000,Michelle Smith,+1-751-690-1072,170,0.037910245,17,6,Streats of Detroit,Food,137,Snack,Cheese Cups,,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/51_Cheese_Cups.jpg?raw=true
1000,Michelle Smith,+1-751-690-1072,179,0.039870694,17,7,Streats of Detroit,Food,217,Pretzels,Pretzel,8.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/37_Pretzels.jpg?raw=true
982,Jennifer Peck,310.567.8156,182,0.10705594,17,7,Streats of Detroit,Food,217,Alcohol,Domestic Beer,11.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/27_druft_beer.jpg?raw=true
1000,Michelle Smith,+1-751-690-1072,188,0.035882574,17,8,Streats of Detroit,Food,223,Hot Dog,Hot Dog,,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/11_hotdog.jpg?raw=true
999,Jonathan Sims,(395)441-1120,190,0.116947144,17,8,Streats of Detroit,Food,223,Pretzels,Pretzel,8.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/37_Pretzels.jpg?raw=true
998,Andrew Taylor,+1-796-841-0734x56314,192,0.088698536,17,8,Streats of Detroit,Food,223,Snack,Cheese Cups,,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/51_Cheese_Cups.jpg?raw=true
1000,Michelle Smith,+1-751-690-1072,198,0.038782224,17,9,Streats of Detroit,Food,227,Nachos,Nacho Grande,14.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true
646,Jennifer Lopez,001-316-476-7626x959,204,0.028730014,17,9,Streats of Detroit,Food,227,Alcohol,Domestic Beer,11.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/27_druft_beer.jpg?raw=true
985,Rhonda Mata,(492)561-1844x10884,214,0.10402562,17,10,Streats of Detroit,Food,238,Snack,Cheese Cups,,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/51_Cheese_Cups.jpg?raw=true
984,Marco Randall,(211)753-7632x49984,215,0.15163818,17,10,Streats of Detroit,Food,238,Alcohol,Domestic Beer,11.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/27_druft_beer.jpg?raw=true
960,Anthony Walker,001-967-680-1608x877,218,0.04799221,17,10,Streats of Detroit,Food,238,Non-Alcoholic,Gatorade,9.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/23_red_jouce.jpg?raw=true
995,Nathaniel Rodriguez MD,+1-923-229-9197,231,0.31158328,17,12,Streats of Detroit,Food,244,Nachos,Nacho Grande,14.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true
999,Jonathan Sims,(395)441-1120,242,0.11786396,19,1,Tailgate Grill,Food,120,Sandwich,Chicken Tenders with Fries,17.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/38_Wing_Dings_Fries.jpg?raw=true
920,Melissa Hall,+1-944-492-3178,247,0.06671606,19,1,Tailgate Grill,Food,120,Non-Alcoholic,Regular or Large Soda,10.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/23_red_jouce.jpg?raw=true
996,Christopher Ortiz,001-398-886-7927,248,0.092387274,19,1,Tailgate Grill,Food,120,Water,Bottled Water,10.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/52_Bottled_Water.jpg?raw=true
622,Joshua Harding,+1-654-231-3621x41288,279,0.17991264,20,1,Turf Tavern,Bar,105,Alcohol,Domestic Beer,11.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/27_druft_beer.jpg?raw=true
1000,Michelle Smith,+1-751-690-1072,286,0.037604168,20,3,Turf Tavern,Bar,132,Water,Bottled Water,10.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/52_Bottled_Water.jpg?raw=true
995,Nathaniel Rodriguez MD,+1-923-229-9197,288,0.27013108,20,3,Turf Tavern,Bar,236,Alcohol,Domestic Beer,11.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/27_druft_beer.jpg?raw=true
985,Rhonda Mata,(492)561-1844x10884,303,0.114075534,23,1,Kickoff Classics,Food,208,Nachos,Nacho Grande,14.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true
998,Andrew Taylor,+1-796-841-0734x56314,309,0.08023332,23,1,Kickoff Classics,Food,208,Snack,Bottomless Souvenir Popcorn,11.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/44_Popcorn.jpg?raw=true
1000,Michelle Smith,+1-751-690-1072,312,0.036358282,23,1,Kickoff Classics,Food,208,Sandwich,Chicken Tender Basket,,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/13_chicken_wing.jpg?raw=true
995,Nathaniel Rodriguez MD,+1-923-229-9197,314,0.24894165,24,1,Novella's Pizza,Food,212,Pizza,Pepperoni Pizza,12.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/36_Sausage_Peppers_Pizza.jpeg?raw=true
995,Nathaniel Rodriguez MD,+1-923-229-9197,320,0.24395013,24,1,Novella's Pizza,Food,212,Water,Bottled Water,10.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/52_Bottled_Water.jpg?raw=true
992,Wesley Thompson,288-603-7697x7319,326,0.086917125,25,1,Sonny's Hamburgers,Food,208,Alcohol,Domestic Beer,11.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/27_druft_beer.jpg?raw=true
999,Jonathan Sims,(395)441-1120,327,0.1225983,25,1,Sonny's Hamburgers,Food,208,Non-Alcoholic,Bottomless Souvenir Soda,11.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/25_color_juice.jpg?raw=true
728,Amanda Valdez,+1-717-229-4112x28829,332,0.13010655,26,1,South East Pub,Bar,206,Alcohol,Premium Cocktail,15.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/25_color_juice.jpg?raw=true
985,Rhonda Mata,(492)561-1844x10884,338,0.108565845,26,1,South East Pub,Bar,206,Alcohol,Seltzer,12.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/30_Seltzer.jpg?raw=true
999,Jonathan Sims,(395)441-1120,341,0.15039296,26,2,South East Pub,Bar,214,Alcohol,Premium Cocktail,15.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/25_color_juice.jpg?raw=true
999,Jonathan Sims,(395)441-1120,346,0.11786309,26,2,South East Pub,Bar,214,Alcohol,Craft Beer,14.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/26_cluft_beer.jpg?raw=true
967,Sally Martinez,656-945-2589,348,0.12453472,26,2,South East Pub,Bar,214,Alcohol,Wine,10.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/28_wine.png?raw=true
995,Nathaniel Rodriguez MD,+1-923-229-9197,350,0.23600669,27,1,South Club Cafe,Food,214,Snack,Cake Slice,8.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/46_Cake_Slice.jpg?raw=true
737,Barbara Zimmerman,981-909-7357x0272,7,0.10389884,2,1,Big Boy,Food,108,Non-Alcoholic,Milkshakes,,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/34_Milkshakes.jpg?raw=true
991,Edward Harrison,+1-744-735-0086,11,0.10696558,2,1,Big Boy,Food,108,Water,Bottled Water,10.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/52_Bottled_Water.jpg?raw=true
993,Misty Yates,001-512-476-8056x51133,19,0.090231836,2,2,Big Boy,Food,127,Non-Alcoholic,Regular or Large Soda,10.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/23_red_jouce.jpg?raw=true
989,Amanda Hutchinson,879.742.2982,21,0.12135645,2,3,Big Boy,Food,230,Sandwich,Grilled Chicken Breast Sandwich ,,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/42_Sandwich.png?raw=true
993,Misty Yates,001-512-476-8056x51133,27,0.08844442,2,3,Big Boy,Food,230,Alcohol,Domestic Beer,11.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/27_druft_beer.jpg?raw=true
765,Emily Shah,883.223.7784x387,28,0.05981764,2,3,Big Boy,Food,230,Non-Alcoholic,Regular or Large Soda,10.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/23_red_jouce.jpg?raw=true
769,Sarah Rodriguez,(484)443-6566,29,0.11537748,2,3,Big Boy,Food,230,Water,Bottled Water,10.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/52_Bottled_Water.jpg?raw=true
992,Wesley Thompson,288-603-7697x7319,31,0.09046999,3,2,Coppercraft Distillery,Bar,121,Alcohol,Cocktails and Domestic Beer,10.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/26_cluft_beer.jpg?raw=true
926,Aaron Robinson,779-981-7825x6711,40,0.071843065,5,1,Downtown Counter,Food,139,Hot Dog,Hot Dog,,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/11_hotdog.jpg?raw=true
985,Rhonda Mata,(492)561-1844x10884,41,0.11318821,5,1,Downtown Counter,Food,139,Snack,Bottomless Souvenir Popcorn,11.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/44_Popcorn.jpg?raw=true
979,Michael Marks,520.433.7514,53,0.060154915,6,1,Goal Post Grill & Pizzeria,Food,119,Snack,Peanuts,7.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/48_Peanuts.jpg?raw=true
770,Alexander Carlson,001-627-230-8802x648,54,0.10523274,6,1,Goal Post Grill & Pizzeria,Food,119,Alcohol,Domestic Beer,,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/27_druft_beer.jpg?raw=true
988,Mark Scott,(508)785-7126,70,0.08992154,9,2,Hungry Howie's,Food,123,Water,Bottled Water,10.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/52_Bottled_Water.jpg?raw=true
989,Amanda Hutchinson,879.742.2982,77,0.12490824,9,4,Hungry Howie's,Food,226,Pizza,Cheese Pizza,12.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/05_pizza.jpg?raw=true
996,Christopher Ortiz,001-398-886-7927,78,0.099518664,9,4,Hungry Howie's,Food,226,Pizza,Pepperoni Pizza,11.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/36_Sausage_Peppers_Pizza.jpeg?raw=true
990,Elizabeth Carlson,(461)341-0655x3917,85,0.077722006,11,1,Lefty's Cheesesteaks,Food,103,Sandwich,Lefty's Cheesteak,16.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/15_sandwiches.jpg?raw=true
984,Marco Randall,(211)753-7632x49984,88,0.16964416,11,1,Lefty's Cheesesteaks,Food,103,Sandwich,Chicken Hoagie,15.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/40_Chicken_Hoagie.png?raw=true
926,Aaron Robinson,779-981-7825x6711,97,0.069196805,15,2,Slows To Go BBQ,Food,210,Sandwich,Big Poppa,14.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/15_sandwiches.jpg?raw=true
687,Jennifer Buckley,694-602-4404x00108,99,0.10190663,16,1,Snack Zone,Food,117,Nachos,Nacho Grande,14.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true
978,Bradley Sloan,001-431-732-2208x87970,104,0.083673395,16,1,Snack Zone,Food,117,Snack,Cheese Chips,9.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/50_Cheese_Chips.jpg?raw=true
803,Christie Neal,001-236-502-3782x5949,110,0.19661316,17,1,Streats of Detroit,Food,109,Nachos,Nacho Grande,14.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true
996,Christopher Ortiz,001-398-886-7927,112,0.11414665,17,1,Streats of Detroit,Food,109,Snack,Popcorn,8.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/44_Popcorn.jpg?raw=true
998,Andrew Taylor,+1-796-841-0734x56314,113,0.081015654,17,1,Streats of Detroit,Food,109,Pretzels,Pretzel,7.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/37_Pretzels.jpg?raw=true
941,Mark Davis,001-818-656-0754x3056,120,0.10699162,17,2,Streats of Detroit,Food,120,Hot Dog,Value Meal,13.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/11_hotdog.jpg?raw=true
90,Kelsey Riddle,539-870-0565,123,0.12491994,17,2,Streats of Detroit,Food,120,Snack,Popcorn,7.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/44_Popcorn.jpg?raw=true
993,Misty Yates,001-512-476-8056x51133,124,0.09173745,17,2,Streats of Detroit,Food,120,Pretzels,Pretzel,8.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/37_Pretzels.jpg?raw=true
912,Frank Greene,267-459-0067x74717,126,0.14321312,17,2,Streats of Detroit,Food,120,Snack,Cheese Cups,,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/51_Cheese_Cups.jpg?raw=true
987,Marcus Walker,682.878.1544x060,131,0.17578758,17,3,Streats of Detroit,Food,124,Hot Dog,Value Meal,13.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/11_hotdog.jpg?raw=true
998,Andrew Taylor,+1-796-841-0734x56314,134,0.08010208,17,3,Streats of Detroit,Food,124,Snack,Popcorn,7.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/44_Popcorn.jpg?raw=true
966,Patrick Bruce,644-419-8841x3991,139,0.07396486,17,3,Streats of Detroit,Food,124,Non-Alcoholic,Regular or Large Soda,10.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/23_red_jouce.jpg?raw=true
998,Andrew Taylor,+1-796-841-0734x56314,140,0.08744069,17,3,Streats of Detroit,Food,124,Water,Bottled Water,10.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/52_Bottled_Water.jpg?raw=true
997,Rebecca Garcia,942-955-2800x40288,141,0.13847598,17,3,Streats of Detroit,Food,124,Non-Alcoholic,Gatorade,9.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/23_red_jouce.jpg?raw=true
997,Rebecca Garcia,942-955-2800x40288,142,0.13724746,17,4,Streats of Detroit,Food,126,Hot Dog,Value Meal,13.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/11_hotdog.jpg?raw=true
997,Rebecca Garcia,942-955-2800x40288,143,0.14089017,17,4,Streats of Detroit,Food,126,Nachos,Nacho Grande,14.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/32_Nacho_Grande.png?raw=true
955,Tina Beck,001-496-238-2910x5023,147,0.08402731,17,4,Streats of Detroit,Food,126,Snack,Peanuts,8.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/48_Peanuts.jpg?raw=true
996,Christopher Ortiz,001-398-886-7927,148,0.090218894,17,4,Streats of Detroit,Food,126,Snack,Cheese Cups,,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/51_Cheese_Cups.jpg?raw=true
975,Christine Rodgers,001-322-479-9676x0831,159,0.08450424,17,5,Streats of Detroit,Food,130,Snack,Cheese Cups,,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/51_Cheese_Cups.jpg?raw=true
748,Kristen Smith,329.574.2694x13023,160,0.08550442,17,5,Streats of Detroit,Food,130,Alcohol,Domestic Beer,11.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/27_druft_beer.jpg?raw=true
990,Elizabeth Carlson,(461)341-0655x3917,167,0.0762053,17,6,Streats of Detroit,Food,137,Snack,Popcorn,7.0,null,https://github.com/komae5519pv/komae_dbdemos/blob/main/product_recommendation_20250411/_images/44_Popcorn.jpg?raw=true
